start	strand	num_CoV_aligned	specificity
8	+	0	1
47	+	1	0.833333333333333
58	+	1	0.833333333333333
59	+	1	0.833333333333333
236	+	1	0.833333333333333
275	+	0	1
276	+	0	1
383	+	0	1
414	+	0	1
415	+	0	1
416	+	0	1
458	+	1	0.833333333333333
582	+	0	1
629	+	1	0.833333333333333
664	+	0	1
720	+	0	1
721	+	0	1
734	+	0	1
848	+	1	0.833333333333333
872	+	0	1
954	+	1	0.833333333333333
981	+	0	1
982	+	0	1
1011	+	0	1
1016	+	0	1
1024	+	0	1
1028	+	0	1
1057	+	0	1
1075	+	0	1
1110	+	0	1
1111	+	0	1
1115	+	1	0.833333333333333
1116	+	1	0.833333333333333
1117	+	1	0.833333333333333
1171	+	0	1
1185	+	0	1
1227	+	0	1
1256	+	0	1
1295	+	0	1
1329	+	0	1
1330	+	0	1
1343	+	0	1
1344	+	0	1
1424	+	0	1
1425	+	0	1
1599	+	0	1
1608	+	0	1
1609	+	0	1
1610	+	0	1
1616	+	1	0.833333333333333
1646	+	0	1
1710	+	0	1
1718	+	0	1
1733	+	0	1
1742	+	0	1
1746	+	0	1
1772	+	0	1
1780	+	0	1
1781	+	0	1
1786	+	0	1
1787	+	0	1
1793	+	0	1
1794	+	0	1
1795	+	0	1
1796	+	0	1
1823	+	0	1
1902	+	0	1
1911	+	0	1
1912	+	0	1
2109	+	0	1
2110	+	0	1
2111	+	0	1
2117	+	0	1
2184	+	0	1
2192	+	0	1
2217	+	0	1
2232	+	0	1
2248	+	0	1
2253	+	0	1
2290	+	0	1
2294	+	0	1
2339	+	0	1
2345	+	0	1
2364	+	0	1
2383	+	0	1
2398	+	0	1
2408	+	0	1
2421	+	0	1
2443	+	0	1
2444	+	0	1
2452	+	0	1
2453	+	0	1
2457	+	0	1
2478	+	0	1
2519	+	0	1
2520	+	0	1
2619	+	0	1
2624	+	0	1
2634	+	0	1
2635	+	0	1
2671	+	0	1
2690	+	0	1
2707	+	0	1
2784	+	0	1
2795	+	0	1
2848	+	0	1
2884	+	0	1
2885	+	0	1
2886	+	0	1
2987	+	0	1
3116	+	0	1
3201	+	0	1
3252	+	0	1
3340	+	0	1
3341	+	0	1
3365	+	0	1
3366	+	0	1
3367	+	0	1
3392	+	0	1
3393	+	0	1
3394	+	0	1
3400	+	0	1
3401	+	0	1
3440	+	0	1
3469	+	0	1
3536	+	0	1
3578	+	0	1
3604	+	0	1
3614	+	0	1
3651	+	0	1
3652	+	0	1
3757	+	0	1
3782	+	0	1
3783	+	0	1
3784	+	0	1
3797	+	0	1
3819	+	0	1
3831	+	0	1
3832	+	0	1
3846	+	0	1
3847	+	0	1
3866	+	0	1
3894	+	0	1
3899	+	0	1
3919	+	0	1
3920	+	0	1
3935	+	0	1
3936	+	0	1
3941	+	0	1
3978	+	0	1
3996	+	0	1
3997	+	0	1
4081	+	0	1
4085	+	0	1
4154	+	0	1
4155	+	0	1
4156	+	0	1
4176	+	1	0.833333333333333
4187	+	0	1
4198	+	0	1
4199	+	0	1
4246	+	0	1
4270	+	0	1
4283	+	0	1
4284	+	0	1
4285	+	0	1
4292	+	0	1
4293	+	0	1
4341	+	0	1
4374	+	0	1
4395	+	1	0.833333333333333
4403	+	0	1
4425	+	0	1
4430	+	0	1
4457	+	0	1
4472	+	0	1
4473	+	0	1
4526	+	0	1
4527	+	0	1
4567	+	0	1
4572	+	0	1
4615	+	0	1
4652	+	0	1
4727	+	0	1
4728	+	0	1
4752	+	0	1
4778	+	0	1
4841	+	1	0.833333333333333
4842	+	0	1
5060	+	1	0.833333333333333
5061	+	1	0.833333333333333
5065	+	1	0.833333333333333
5066	+	1	0.833333333333333
5090	+	0	1
5091	+	0	1
5194	+	0	1
5204	+	0	1
5205	+	0	1
5206	+	0	1
5213	+	0	1
5246	+	0	1
5298	+	0	1
5433	+	0	1
5477	+	0	1
5478	+	0	1
5501	+	0	1
5502	+	0	1
5585	+	0	1
5615	+	0	1
5626	+	0	1
5627	+	0	1
5753	+	0	1
5768	+	0	1
5772	+	0	1
5806	+	0	1
5822	+	0	1
5849	+	0	1
5853	+	0	1
5854	+	0	1
5875	+	0	1
5876	+	0	1
5891	+	0	1
5916	+	0	1
5948	+	0	1
5992	+	0	1
6007	+	0	1
6050	+	0	1
6067	+	0	1
6089	+	0	1
6110	+	0	1
6133	+	0	1
6161	+	1	0.833333333333333
6185	+	0	1
