start	strand	offtarget_rate	offtargets
1	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
2	+	0.161290322580645	adenovirus,s_pneumoniae,p_jirovecii,c_albicans,s_salivarius
3	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
4	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
5	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
6	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
7	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
8	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
9	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
10	+	0.129032258064516	resp_syncytial_A,adenovirus,p_jirovecii,c_albicans
11	+	0.0645161290322581	adenovirus,c_albicans
12	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
13	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
14	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
15	+	0.032258064516129	p_jirovecii
16	+	0.0645161290322581	adenovirus,c_albicans
17	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
18	+	0.0645161290322581	adenovirus,c_albicans
19	+	0.0645161290322581	adenovirus,c_albicans
20	+	0.0645161290322581	adenovirus,c_albicans
21	+	0.0967741935483871	resp_syncytial_A,adenovirus,c_albicans
22	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
23	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
24	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
25	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
26	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
27	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
28	+	0.129032258064516	parainfluenza_4,adenovirus,p_jirovecii,c_albicans
29	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
30	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
