start	strand	target_basepairing_propensity
1	+	0.452401218062983
2	+	0.452401218062983
3	+	0.484219399881165
4	+	0.534219399881165
5	+	0.582136066547831
6	+	0.628136066547831
7	+	0.653136066547831
8	+	0.603136066547831
9	+	0.553136066547831
10	+	0.522484725551663
11	+	0.495818058884996
12	+	0.486873777360069
13	+	0.513436277360069
14	+	0.487678701602494
15	+	0.437678701602494
16	+	0.391012034935827
17	+	0.347262034935827
18	+	0.306085564347592
19	+	0.306085564347592
20	+	0.306085564347592
21	+	0.306085564347592
22	+	0.306085564347592
23	+	0.27426738252941
24	+	0.22426738252941
25	+	0.176350715862743
26	+	0.180350715862743
27	+	0.204263759341004
28	+	0.252136099766536
29	+	0.299011099766536
30	+	0.331136363665199
31	+	0.317803030331865
32	+	0.290383675493156
33	+	0.263821175493156
34	+	0.239578751250732
35	+	0.239578751250732
36	+	0.280487842159822
37	+	0.320666413588394
38	+	0.36014009779892
39	+	0.398933201247196
40	+	0.437068794467535
41	+	0.437068794467535
42	+	0.486249122336388
43	+	0.534636219110581
44	+	0.582255266729629
45	+	0.629130266729629
46	+	0.579130266729629
47	+	0.530217223251368
48	+	0.482344882825836
49	+	0.435469882825836
50	+	0.390276153160057
51	+	0.390990438874342
52	+	0.391694664226455
53	+	0.434055775337566
54	+	0.475836597255374
55	+	0.516377137795915
56	+	0.515468046886824
57	+	0.475289475458252
58	+	0.435815791247726
59	+	0.39702268779945
60	+	0.358887094579111
61	+	0.358887094579111
62	+	0.309706766710259
63	+	0.261319669936065
64	+	0.213700622317018
65	+	0.201944669936065
66	+	0.237827022877242
67	+	0.284338650784218
68	+	0.329166236991115
69	+	0.378029873354751
70	+	0.426181640167974
71	+	0.475467354453688
72	+	0.522565326903773
73	+	0.491617259270923
74	+	0.496610630901502
75	+	0.502878600999259
76	+	0.463404916788733
77	+	0.501425750122066
78	+	0.539054616101448
79	+	0.576299514060632
80	+	0.611147998909116
81	+	0.623147998909116
82	+	0.672647998909116
83	+	0.720647998909116
84	+	0.770147998909116
85	+	0.748528951290069
86	+	0.727646598348892
87	+	0.696134970441916
88	+	0.663807384235019
89	+	0.630443747871383
90	+	0.625567343377001
91	+	0.619567343377001
92	+	0.606265145574803
93	+	0.596852102096542
94	+	0.586577908548155
95	+	0.578269397909857
96	+	0.618243082120383
97	+	0.62872224878705
98	+	0.635593382807669
99	+	0.636848484848485
100	+	0.603
101	+	0.627
102	+	0.6155
103	+	0.6085
104	+	0.5995
105	+	0.6355
106	+	0.6705
107	+	0.7045
108	+	0.738
109	+	0.7385
110	+	0.703
111	+	0.6905
112	+	0.6875
113	+	0.717
114	+	0.7135
115	+	0.708
116	+	0.7005
117	+	0.6535
118	+	0.6105
119	+	0.572
120	+	0.575
121	+	0.543
122	+	0.539
123	+	0.5295
124	+	0.5205
125	+	0.5025
126	+	0.4905
127	+	0.4795
128	+	0.4695
129	+	0.498
130	+	0.536
131	+	0.545
132	+	0.542
133	+	0.5365
134	+	0.5195
135	+	0.5065
136	+	0.523
137	+	0.5655
138	+	0.603
139	+	0.652
140	+	0.698
141	+	0.7145
142	+	0.701
143	+	0.6695
144	+	0.682
145	+	0.6955
146	+	0.703
147	+	0.713
148	+	0.725
149	+	0.683
150	+	0.6365
151	+	0.596
152	+	0.613
153	+	0.6325
154	+	0.6625
155	+	0.688
156	+	0.6855
157	+	0.653
158	+	0.6255
159	+	0.5805
160	+	0.5455
161	+	0.54
162	+	0.5465
163	+	0.573
164	+	0.56
165	+	0.541
166	+	0.528
167	+	0.504
168	+	0.4765
169	+	0.5195
170	+	0.5665
171	+	0.616
172	+	0.617
173	+	0.6205
174	+	0.6225
175	+	0.579
176	+	0.573
177	+	0.6065
178	+	0.6415
179	+	0.685
180	+	0.716
181	+	0.704
182	+	0.679
183	+	0.6545
184	+	0.626
185	+	0.6025
186	+	0.5735
187	+	0.5955
188	+	0.6245
189	+	0.625
190	+	0.628
191	+	0.6265
192	+	0.589
193	+	0.549
194	+	0.5465
195	+	0.583
196	+	0.587
197	+	0.591
198	+	0.5925
199	+	0.592
200	+	0.553
201	+	0.55
202	+	0.5535
203	+	0.5625
204	+	0.567
205	+	0.585
206	+	0.6025
207	+	0.5675
208	+	0.532
209	+	0.5345
210	+	0.5325
211	+	0.533
212	+	0.5725
213	+	0.6035
214	+	0.598
215	+	0.5995
216	+	0.556
217	+	0.55
218	+	0.545
219	+	0.5025
220	+	0.5005
221	+	0.506
222	+	0.5045
223	+	0.4985
224	+	0.498
225	+	0.5265
226	+	0.555
227	+	0.592
228	+	0.625
229	+	0.6225
230	+	0.618
231	+	0.6125
232	+	0.604
233	+	0.6105
234	+	0.6085
235	+	0.61
236	+	0.642
237	+	0.6085
238	+	0.5725
239	+	0.573
240	+	0.5765
241	+	0.617
242	+	0.659
243	+	0.6995
244	+	0.705
245	+	0.6705
246	+	0.6405
247	+	0.606
248	+	0.579
249	+	0.564
250	+	0.546
251	+	0.5315
252	+	0.5185
253	+	0.495
254	+	0.486
255	+	0.473
256	+	0.4705
257	+	0.471
258	+	0.482
259	+	0.499
260	+	0.5215
261	+	0.499
262	+	0.4775
263	+	0.445
264	+	0.4545
265	+	0.482
266	+	0.502
267	+	0.524
268	+	0.539
269	+	0.524
270	+	0.5135
271	+	0.499
272	+	0.512
273	+	0.5315
274	+	0.541
275	+	0.548
276	+	0.56
277	+	0.5585
278	+	0.545
279	+	0.524
280	+	0.4975
281	+	0.483
282	+	0.463
283	+	0.4805
284	+	0.494
285	+	0.4875
286	+	0.487
287	+	0.488
288	+	0.485
289	+	0.472
290	+	0.46
291	+	0.446
292	+	0.416
293	+	0.3845
294	+	0.355
295	+	0.3195
296	+	0.3175
297	+	0.3535
298	+	0.356
299	+	0.3585
300	+	0.402
301	+	0.442
302	+	0.487
303	+	0.5045
304	+	0.514
305	+	0.523
306	+	0.484
307	+	0.4475
308	+	0.4155
309	+	0.4575
310	+	0.4995
311	+	0.5475
312	+	0.5865
313	+	0.624
314	+	0.6625
315	+	0.665
316	+	0.633
317	+	0.636
318	+	0.6755
319	+	0.7125
320	+	0.7115
321	+	0.7
322	+	0.699
323	+	0.6945
324	+	0.693
325	+	0.684
326	+	0.707
327	+	0.737
328	+	0.784
329	+	0.767
330	+	0.753
331	+	0.739
332	+	0.725
333	+	0.707
334	+	0.7055
335	+	0.7175
336	+	0.756
337	+	0.7555
338	+	0.7465
339	+	0.743
340	+	0.7365
341	+	0.7465
342	+	0.741
343	+	0.743
344	+	0.746
345	+	0.759
346	+	0.7825
347	+	0.799
348	+	0.7985
349	+	0.772
350	+	0.7425
351	+	0.711
352	+	0.68
353	+	0.6525
354	+	0.6525
355	+	0.6875
356	+	0.6855
357	+	0.6425
358	+	0.652
359	+	0.662
360	+	0.6685
361	+	0.6675
362	+	0.67
363	+	0.6245
364	+	0.5785
365	+	0.5625
366	+	0.549
367	+	0.5485
368	+	0.5475
369	+	0.5915
370	+	0.5975
371	+	0.6395
372	+	0.673
373	+	0.711
374	+	0.7005
375	+	0.6865
376	+	0.6685
377	+	0.6685
378	+	0.6255
379	+	0.616
380	+	0.6025
381	+	0.5935
382	+	0.5855
383	+	0.623
384	+	0.623
385	+	0.5905
386	+	0.5615
387	+	0.55
388	+	0.553
389	+	0.552
390	+	0.593
391	+	0.594
392	+	0.594
393	+	0.593
394	+	0.593
395	+	0.596
396	+	0.5815
397	+	0.616
398	+	0.6505
399	+	0.633
400	+	0.645
401	+	0.6495
402	+	0.658
403	+	0.666
404	+	0.6845
405	+	0.6845
406	+	0.709
407	+	0.7045
408	+	0.6615
409	+	0.621
410	+	0.6195
411	+	0.618
412	+	0.629
413	+	0.6375
414	+	0.648
415	+	0.651
416	+	0.6795
417	+	0.641
418	+	0.6025
419	+	0.5855
420	+	0.544
421	+	0.548
422	+	0.5495
423	+	0.5515
424	+	0.5365
425	+	0.5405
426	+	0.515
427	+	0.488
428	+	0.4855
429	+	0.5295
430	+	0.5305
431	+	0.535
432	+	0.536
433	+	0.5355
434	+	0.536
435	+	0.541
436	+	0.546
437	+	0.592
438	+	0.633
439	+	0.6415
440	+	0.658
441	+	0.6615
442	+	0.6635
443	+	0.6635
444	+	0.686
445	+	0.708
446	+	0.731
447	+	0.7385
448	+	0.766
449	+	0.7485
450	+	0.712
451	+	0.695
452	+	0.678
453	+	0.67
454	+	0.649
455	+	0.6315
456	+	0.623
457	+	0.6105
458	+	0.5885
459	+	0.5955
460	+	0.5795
461	+	0.532
462	+	0.4845
463	+	0.4515
464	+	0.4645
465	+	0.478
466	+	0.479
467	+	0.508
468	+	0.524
469	+	0.5385
470	+	0.549
471	+	0.54
472	+	0.5325
473	+	0.5145
474	+	0.537
475	+	0.5545
476	+	0.563
477	+	0.578
478	+	0.5875
479	+	0.6185
480	+	0.6565
481	+	0.6975
482	+	0.72
483	+	0.7485
484	+	0.756
485	+	0.7525
486	+	0.728
487	+	0.6995
488	+	0.663
489	+	0.63
490	+	0.6545
491	+	0.6565
492	+	0.67
493	+	0.683
494	+	0.6725
495	+	0.6445
496	+	0.616
497	+	0.59
498	+	0.5815
499	+	0.539
500	+	0.5055
501	+	0.48
502	+	0.4755
503	+	0.4575
504	+	0.456
505	+	0.4655
506	+	0.504
507	+	0.515
508	+	0.548
509	+	0.5565
510	+	0.5495
511	+	0.554
512	+	0.54
513	+	0.508
514	+	0.5055
515	+	0.535
516	+	0.5595
517	+	0.579
518	+	0.565
519	+	0.569
520	+	0.579
521	+	0.6
522	+	0.6125
523	+	0.6275
524	+	0.622
525	+	0.5895
526	+	0.559
527	+	0.575
528	+	0.5655
529	+	0.5695
530	+	0.5585
531	+	0.5695
532	+	0.586
533	+	0.605
534	+	0.5905
535	+	0.5665
536	+	0.5525
537	+	0.545
538	+	0.562
539	+	0.5655
540	+	0.558
541	+	0.5335
542	+	0.516
543	+	0.493
