segment	start	strand	num_CoV_aligned	specificity
NM_001101.3	1	+	0	1
NM_001101.3	2	+	0	1
NM_001101.3	3	+	0	1
NM_001101.3	4	+	0	1
NM_001101.3	5	+	0	1
NM_001101.3	6	+	0	1
NM_001101.3	7	+	0	1
NM_001101.3	8	+	0	1
NM_001101.3	9	+	0	1
NM_001101.3	10	+	0	1
NM_001101.3	11	+	0	1
NM_001101.3	12	+	0	1
NM_001101.3	13	+	0	1
NM_001101.3	14	+	0	1
NM_001101.3	15	+	0	1
NM_001101.3	16	+	0	1
NM_001101.3	17	+	0	1
NM_001101.3	18	+	0	1
NM_001101.3	19	+	0	1
NM_001101.3	20	+	0	1
NM_001101.3	21	+	0	1
NM_001101.3	22	+	0	1
NM_001101.3	23	+	0	1
NM_001101.3	24	+	0	1
NM_001101.3	25	+	0	1
NM_001101.3	26	+	0	1
NM_001101.3	27	+	0	1
NM_001101.3	28	+	0	1
NM_001101.3	29	+	0	1
NM_001101.3	30	+	0	1
NM_001101.3	31	+	0	1
NM_001101.3	32	+	0	1
NM_001101.3	33	+	0	1
NM_001101.3	34	+	0	1
NM_001101.3	35	+	0	1
NM_001101.3	36	+	0	1
NM_001101.3	37	+	0	1
NM_001101.3	38	+	0	1
NM_001101.3	39	+	0	1
NM_001101.3	40	+	0	1
NM_001101.3	41	+	0	1
NM_001101.3	42	+	0	1
NM_001101.3	43	+	0	1
NM_001101.3	44	+	0	1
NM_001101.3	45	+	0	1
NM_001101.3	46	+	0	1
NM_001101.3	47	+	0	1
NM_001101.3	48	+	0	1
NM_001101.3	49	+	0	1
NM_001101.3	50	+	0	1
NM_001101.3	51	+	0	1
NM_001101.3	52	+	0	1
NM_001101.3	53	+	0	1
NM_001101.3	54	+	0	1
NM_001101.3	55	+	0	1
NM_001101.3	56	+	0	1
NM_001101.3	57	+	0	1
NM_001101.3	58	+	0	1
NM_001101.3	59	+	0	1
NM_001101.3	60	+	0	1
NM_001101.3	61	+	0	1
NM_001101.3	62	+	0	1
NM_001101.3	63	+	0	1
NM_001101.3	64	+	0	1
NM_001101.3	65	+	0	1
NM_001101.3	66	+	0	1
NM_001101.3	67	+	0	1
NM_001101.3	68	+	0	1
NM_001101.3	69	+	0	1
NM_001101.3	70	+	0	1
NM_001101.3	71	+	0	1
NM_001101.3	72	+	0	1
NM_001101.3	73	+	0	1
NM_001101.3	74	+	0	1
NM_001101.3	75	+	0	1
NM_001101.3	76	+	0	1
NM_001101.3	77	+	0	1
NM_001101.3	78	+	0	1
NM_001101.3	79	+	0	1
NM_001101.3	80	+	0	1
NM_001101.3	81	+	0	1
NM_001101.3	82	+	0	1
NM_001101.3	83	+	0	1
NM_001101.3	84	+	0	1
NM_001101.3	85	+	0	1
NM_001101.3	86	+	0	1
NM_001101.3	87	+	0	1
NM_001101.3	88	+	0	1
NM_001101.3	89	+	0	1
NM_001101.3	90	+	0	1
NM_001101.3	91	+	0	1
NM_001101.3	92	+	0	1
NM_001101.3	93	+	0	1
NM_001101.3	94	+	0	1
NM_001101.3	95	+	0	1
NM_001101.3	96	+	0	1
NM_001101.3	97	+	0	1
NM_001101.3	98	+	0	1
NM_001101.3	99	+	0	1
NM_001101.3	100	+	0	1
NM_001101.3	101	+	0	1
NM_001101.3	102	+	0	1
NM_001101.3	103	+	0	1
NM_001101.3	104	+	0	1
NM_001101.3	105	+	0	1
NM_001101.3	106	+	0	1
NM_001101.3	107	+	0	1
NM_001101.3	108	+	0	1
NM_001101.3	109	+	0	1
NM_001101.3	110	+	0	1
NM_001101.3	111	+	0	1
NM_001101.3	112	+	0	1
NM_001101.3	113	+	0	1
NM_001101.3	114	+	0	1
NM_001101.3	115	+	0	1
NM_001101.3	116	+	0	1
NM_001101.3	117	+	0	1
NM_001101.3	118	+	0	1
NM_001101.3	119	+	0	1
NM_001101.3	120	+	0	1
NM_001101.3	121	+	0	1
NM_001101.3	122	+	0	1
NM_001101.3	123	+	0	1
NM_001101.3	124	+	0	1
NM_001101.3	125	+	0	1
NM_001101.3	126	+	0	1
NM_001101.3	127	+	0	1
NM_001101.3	128	+	0	1
NM_001101.3	129	+	0	1
NM_001101.3	130	+	0	1
NM_001101.3	131	+	0	1
NM_001101.3	132	+	0	1
NM_001101.3	133	+	0	1
NM_001101.3	134	+	0	1
NM_001101.3	135	+	0	1
NM_001101.3	136	+	0	1
NM_001101.3	137	+	0	1
NM_001101.3	138	+	0	1
NM_001101.3	139	+	0	1
NM_001101.3	140	+	0	1
NM_001101.3	141	+	0	1
NM_001101.3	142	+	0	1
NM_001101.3	143	+	0	1
NM_001101.3	144	+	0	1
NM_001101.3	145	+	0	1
NM_001101.3	146	+	0	1
NM_001101.3	147	+	0	1
NM_001101.3	148	+	0	1
NM_001101.3	149	+	0	1
NM_001101.3	150	+	0	1
NM_001101.3	151	+	0	1
NM_001101.3	152	+	0	1
NM_001101.3	153	+	0	1
NM_001101.3	154	+	0	1
NM_001101.3	155	+	0	1
NM_001101.3	156	+	0	1
NM_001101.3	157	+	0	1
NM_001101.3	158	+	0	1
NM_001101.3	159	+	0	1
NM_001101.3	160	+	0	1
NM_001101.3	161	+	0	1
NM_001101.3	162	+	0	1
NM_001101.3	163	+	0	1
NM_001101.3	164	+	0	1
NM_001101.3	165	+	0	1
NM_001101.3	166	+	0	1
NM_001101.3	167	+	0	1
NM_001101.3	168	+	0	1
NM_001101.3	169	+	0	1
NM_001101.3	170	+	0	1
NM_001101.3	171	+	0	1
NM_001101.3	172	+	0	1
NM_001101.3	173	+	0	1
NM_001101.3	174	+	0	1
NM_001101.3	175	+	0	1
NM_001101.3	176	+	0	1
NM_001101.3	177	+	0	1
NM_001101.3	178	+	0	1
NM_001101.3	179	+	0	1
NM_001101.3	180	+	0	1
NM_001101.3	181	+	0	1
NM_001101.3	182	+	0	1
NM_001101.3	183	+	0	1
NM_001101.3	184	+	0	1
NM_001101.3	185	+	0	1
NM_001101.3	186	+	0	1
NM_001101.3	187	+	0	1
NM_001101.3	188	+	0	1
NM_001101.3	189	+	0	1
NM_001101.3	190	+	0	1
NM_001101.3	191	+	0	1
NM_001101.3	192	+	0	1
NM_001101.3	193	+	0	1
NM_001101.3	194	+	0	1
NM_001101.3	195	+	0	1
NM_001101.3	196	+	0	1
NM_001101.3	197	+	0	1
NM_001101.3	198	+	0	1
NM_001101.3	199	+	0	1
NM_001101.3	200	+	0	1
NM_001101.3	201	+	0	1
NM_001101.3	202	+	0	1
NM_001101.3	203	+	0	1
NM_001101.3	204	+	0	1
NM_001101.3	205	+	0	1
NM_001101.3	206	+	0	1
NM_001101.3	207	+	0	1
NM_001101.3	208	+	0	1
NM_001101.3	209	+	0	1
NM_001101.3	210	+	0	1
NM_001101.3	211	+	0	1
NM_001101.3	212	+	0	1
NM_001101.3	213	+	0	1
NM_001101.3	214	+	0	1
NM_001101.3	215	+	0	1
NM_001101.3	216	+	0	1
NM_001101.3	217	+	0	1
NM_001101.3	218	+	0	1
NM_001101.3	219	+	0	1
NM_001101.3	220	+	0	1
