start	strand	gisaid_mismatch_0	gisaid_mismatch_1	gisaid_mismatch_2	sensitivity_0	sensitivity_01
8	+	1219	88	4321	0.216595593461265	0.232231698649609
47	+	3959	36	1633	0.703447050461976	0.709843638948117
58	+	5135	18	475	0.912402274342573	0.915600568585643
59	+	5139	20	469	0.913113006396588	0.916666666666667
236	+	2148	3350	130	0.381663113006397	0.976901208244492
275	+	5559	12	57	0.98773987206823	0.989872068230277
276	+	5563	8	57	0.988450604122246	0.989872068230277
383	+	5609	3	16	0.996624022743426	0.997157071783937
414	+	5616	6	6	0.997867803837953	0.998933901918977
415	+	5616	5	7	0.997867803837953	0.998756218905473
416	+	5616	5	7	0.997867803837953	0.998756218905473
458	+	5612	2	14	0.997157071783937	0.997512437810945
582	+	5611	11	6	0.996979388770434	0.998933901918977
629	+	5619	7	2	0.998400852878465	0.999644633972992
664	+	5615	11	2	0.997690120824449	0.999644633972992
720	+	5624	4	0	0.999289267945984	1
721	+	5624	4	0	0.999289267945984	1
734	+	5622	5	1	0.998933901918977	0.999822316986496
848	+	5622	6	0	0.998933901918977	1
872	+	5598	29	1	0.994669509594883	0.999822316986496
954	+	5616	6	6	0.997867803837953	0.998933901918977
981	+	5622	2	4	0.998933901918977	0.999289267945984
982	+	5622	2	4	0.998933901918977	0.999289267945984
1011	+	5592	9	27	0.993603411513859	0.995202558635394
1016	+	5590	7	31	0.993248045486851	0.994491826581379
1024	+	5590	7	31	0.993248045486851	0.994491826581379
1028	+	5593	5	30	0.993781094527363	0.994669509594883
1057	+	4640	949	39	0.824449182658138	0.993070362473348
1075	+	5568	18	42	0.989339019189765	0.992537313432836
1110	+	5568	8	52	0.989339019189765	0.990760483297797
1111	+	5568	6	54	0.989339019189765	0.990405117270789
1115	+	5568	6	54	0.989339019189765	0.990405117270789
1116	+	5569	5	54	0.989516702203269	0.990405117270789
1117	+	5569	5	54	0.989516702203269	0.990405117270789
1171	+	5573	11	44	0.990227434257285	0.992181947405828
1185	+	5571	12	45	0.989872068230277	0.992004264392324
1227	+	5579	8	41	0.991293532338308	0.99271499644634
1256	+	5618	6	4	0.998223169864961	0.999289267945984
1295	+	5615	11	2	0.997690120824449	0.999644633972992
1329	+	5618	7	3	0.998223169864961	0.999466950959488
1330	+	5618	7	3	0.998223169864961	0.999466950959488
1343	+	5619	7	2	0.998400852878465	0.999644633972992
1344	+	5619	7	2	0.998400852878465	0.999644633972992
1424	+	5446	178	4	0.967661691542289	0.999289267945984
1425	+	5446	178	4	0.967661691542289	0.999289267945984
1599	+	5602	6	20	0.995380241648898	0.996446339729922
1608	+	5603	22	3	0.995557924662402	0.999466950959488
1609	+	5618	7	3	0.998223169864961	0.999466950959488
1610	+	5616	10	2	0.997867803837953	0.999644633972992
1616	+	5616	9	3	0.997867803837953	0.999466950959488
1646	+	5621	6	1	0.998756218905473	0.999822316986496
1710	+	5618	8	2	0.998223169864961	0.999644633972992
1718	+	5618	9	1	0.998223169864961	0.999822316986496
1733	+	5621	7	0	0.998756218905473	1
1742	+	5623	5	0	0.99911158493248	1
1746	+	5625	3	0	0.999466950959488	1
1772	+	5620	6	2	0.998578535891969	0.999644633972992
1780	+	5623	3	2	0.99911158493248	0.999644633972992
