start	strand	target_basepairing_propensity
8	+	0.603136066547831
47	+	0.530217223251368
58	+	0.435815791247726
59	+	0.39702268779945
236	+	0.642
275	+	0.548
276	+	0.56
383	+	0.623
414	+	0.648
415	+	0.651
416	+	0.6795
458	+	0.5885
582	+	0.6225
629	+	0.5405
664	+	0.5745
720	+	0.5585
721	+	0.5555
734	+	0.5075
848	+	0.753
872	+	0.5055
954	+	0.6335
981	+	0.6425
982	+	0.6
1011	+	0.5125
1016	+	0.589
1024	+	0.6295
1028	+	0.532
1057	+	0.6015
1075	+	0.489
1110	+	0.6435
1111	+	0.682
1115	+	0.7075
1116	+	0.7365
1117	+	0.6905
1171	+	0.7055
1185	+	0.644
1227	+	0.7025
1256	+	0.5835
1295	+	0.531
1329	+	0.457
1330	+	0.4215
1343	+	0.432
1344	+	0.4105
1424	+	0.386
1425	+	0.393
1599	+	0.6545
1608	+	0.6515
1609	+	0.6275
1610	+	0.596
1616	+	0.433
1646	+	0.594
1710	+	0.697
1718	+	0.568
1733	+	0.521
1742	+	0.5915
1746	+	0.581
1772	+	0.5995
1780	+	0.5895
1781	+	0.587
1786	+	0.5795
1787	+	0.574
1793	+	0.5265
1794	+	0.5335
1795	+	0.5335
1796	+	0.5005
1823	+	0.449
1902	+	0.3875
1911	+	0.562
1912	+	0.598
2109	+	0.421
2110	+	0.453
2111	+	0.483
2117	+	0.659
2184	+	0.764
2192	+	0.708
2217	+	0.631
2232	+	0.596
2248	+	0.5615
2253	+	0.5425
2290	+	0.4825
2294	+	0.4805
2339	+	0.7245
2345	+	0.5855
2364	+	0.6545
2383	+	0.3615
2398	+	0.408
2408	+	0.492
2421	+	0.5105
2443	+	0.472
2444	+	0.517
2452	+	0.514
2453	+	0.5155
2457	+	0.486
2478	+	0.4995
2519	+	0.501
2520	+	0.477
2619	+	0.503
2624	+	0.425
2634	+	0.5505
2635	+	0.59
2671	+	0.5235
2690	+	0.4255
2707	+	0.612
2784	+	0.6255
2795	+	0.4105
2848	+	0.5995
2884	+	0.707
2885	+	0.671
2886	+	0.6365
2987	+	0.729
3116	+	0.6125
3201	+	0.5695
3252	+	0.4665
3340	+	0.7335
3341	+	0.7275
3365	+	0.6595
3366	+	0.653
3367	+	0.643
3392	+	0.496
3393	+	0.462
3394	+	0.4535
3400	+	0.3955
3401	+	0.391
3440	+	0.7285
3469	+	0.683
3536	+	0.64
3578	+	0.5475
3604	+	0.7005
3614	+	0.5175
3651	+	0.577
3652	+	0.5565
3757	+	0.61
3782	+	0.5025
3783	+	0.4995
3784	+	0.48
3797	+	0.3485
3819	+	0.7085
3831	+	0.675
3832	+	0.6335
3846	+	0.519
3847	+	0.4955
3866	+	0.573
3894	+	0.5305
3899	+	0.571
3919	+	0.4385
3920	+	0.451
