start	strand	gisaid_mismatch_0	gisaid_mismatch_1	gisaid_mismatch_2	sensitivity_0	sensitivity_01
1	+	433	165	5030	0.0769367448471926	0.106254442075338
2	+	580	172	4876	0.103056147832267	0.13361762615494
3	+	720	87	4821	0.127931769722815	0.143390191897655
4	+	776	205	4647	0.137882018479033	0.174307036247335
5	+	950	148	4530	0.168798862828714	0.195095948827292
6	+	1058	139	4431	0.187988628287136	0.212686567164179
7	+	1160	94	4374	0.206112295664534	0.222814498933902
8	+	1219	88	4321	0.216595593461265	0.232231698649609
9	+	1278	85	4265	0.227078891257996	0.242181947405828
10	+	1330	116	4182	0.236318407960199	0.256929637526652
11	+	1421	110	4097	0.252487562189055	0.272032693674485
12	+	1502	141	3985	0.266879886282871	0.291933191186923
13	+	1612	126	3890	0.286425017768301	0.308813077469794
14	+	1712	85	3831	0.304193319118692	0.319296375266525
15	+	1748	93	3787	0.310589907604833	0.327114427860696
16	+	1782	100	3746	0.316631130063966	0.334399431414357
17	+	1847	79	3702	0.32818052594172	0.342217484008529
18	+	1892	44	3692	0.336176261549396	0.343994314143568
19	+	1908	47	3673	0.339019189765458	0.347370291400142
20	+	1928	48	3652	0.342572850035537	0.351101634683724
21	+	1946	49	3633	0.345771144278607	0.354477611940299
22	+	1973	46	3609	0.350568585643213	0.358742004264392
23	+	1993	55	3580	0.354122245913291	0.363894811656006
24	+	2018	80	3530	0.358564321250888	0.372778962331201
25	+	2072	50	3506	0.368159203980099	0.377043354655295
26	+	2097	123	3408	0.372601279317697	0.394456289978678
27	+	2190	55	3383	0.389125799573561	0.398898365316276
28	+	2211	51	3366	0.392857142857143	0.401918976545842
29	+	2225	159	3244	0.395344705046198	0.423596304193319
30	+	2349	310	2969	0.417377398720682	0.472459132906894
31	+	2628	216	2784	0.466950959488273	0.505330490405117
32	+	2817	58	2753	0.500533049040512	0.510838663823738
33	+	2842	46	2740	0.504975124378109	0.513148542999289
34	+	2857	73	2698	0.507640369580668	0.520611229566453
35	+	2896	72	2660	0.514570007107321	0.527363184079602
36	+	2940	89	2599	0.522388059701492	0.53820184790334
37	+	2991	225	2412	0.531449893390192	0.571428571428571
38	+	3195	368	2065	0.567697228144989	0.633084577114428
39	+	3534	200	1894	0.627931769722815	0.663468372423596
40	+	3714	139	1775	0.659914712153518	0.684612651030561
41	+	3835	24	1769	0.681414356787491	0.685678749111585
42	+	3840	30	1758	0.682302771855011	0.687633262260128
43	+	3855	113	1660	0.684968017057569	0.705046197583511
44	+	3953	16	1659	0.702380952380952	0.705223880597015
45	+	3953	21	1654	0.702380952380952	0.706112295664534
46	+	3958	19	1651	0.703269367448472	0.706645344705046
47	+	3959	36	1633	0.703447050461976	0.709843638948117
48	+	3977	21	1630	0.706645344705046	0.710376687988628
49	+	3988	50	1590	0.708599857853589	0.717484008528785
50	+	4025	22	1581	0.715174129353234	0.71908315565032
51	+	4032	22	1574	0.716417910447761	0.720326936744847
52	+	4039	20	1569	0.717661691542289	0.721215351812367
53	+	4046	17	1565	0.718905472636816	0.721926083866382
54	+	4047	346	1235	0.71908315565032	0.780561478322672
55	+	4377	762	489	0.77771855010661	0.913113006396588
56	+	5128	14	486	0.911158493248046	0.9136460554371
57	+	5130	17	481	0.911513859275053	0.91453447050462
58	+	5135	18	475	0.912402274342573	0.915600568585643
59	+	5139	20	469	0.913113006396588	0.916666666666667
60	+	5145	27	456	0.914179104477612	0.918976545842217
61	+	5158	23	447	0.916488983653163	0.920575692963753
62	+	5171	28	429	0.918798862828714	0.923773987206823
63	+	5191	20	417	0.922352523098792	0.92590618336887
64	+	5203	39	386	0.924484719260839	0.931414356787491
65	+	5234	13	381	0.92999289267946	0.932302771855011
66	+	5238	8	382	0.930703624733475	0.932125088841507
67	+	5242	5	381	0.931414356787491	0.932302771855011
68	+	5243	5	380	0.931592039800995	0.932480454868515
69	+	5244	4	380	0.931769722814499	0.932480454868515
70	+	5244	5	379	0.931769722814499	0.932658137882018
71	+	5244	5	379	0.931769722814499	0.932658137882018
72	+	5243	6	379	0.931592039800995	0.932658137882018
73	+	5244	9	375	0.931769722814499	0.933368869936034
74	+	5248	56	324	0.932480454868515	0.942430703624733
75	+	5300	6	322	0.941719971570718	0.942786069651741
76	+	5302	6	320	0.942075337597726	0.943141435678749
77	+	5304	25	299	0.942430703624733	0.946872778962331
78	+	5325	5	298	0.946162046908316	0.947050461975835
79	+	5326	5	297	0.946339729921819	0.947228144989339
80	+	5327	6	295	0.946517412935323	0.947583511016347
81	+	5330	4	294	0.947050461975835	0.947761194029851
82	+	5329	6	293	0.946872778962331	0.947938877043355
83	+	5329	13	286	0.946872778962331	0.949182658137882
84	+	5336	10	282	0.948116560056859	0.949893390191898
85	+	5339	9	280	0.94864960909737	0.950248756218905
86	+	5336	14	278	0.948116560056859	0.950604122245913
87	+	5334	18	276	0.947761194029851	0.950959488272921
88	+	5335	20	273	0.947938877043355	0.951492537313433
89	+	5337	19	272	0.948294243070362	0.951670220326937
90	+	5339	18	271	0.94864960909737	0.951847903340441
91	+	5337	21	270	0.948294243070362	0.952025586353945
92	+	5340	17	271	0.948827292110874	0.951847903340441
93	+	5340	18	270	0.948827292110874	0.952025586353945
94	+	5342	17	269	0.949182658137882	0.952203269367448
95	+	5343	18	267	0.949360341151386	0.952558635394456
96	+	5344	17	267	0.94953802416489	0.952558635394456
97	+	5343	20	265	0.949360341151386	0.952914001421464
98	+	5346	23	259	0.949893390191898	0.953980099502488
99	+	5354	15	259	0.951314854299929	0.953980099502488
100	+	5354	41	233	0.951314854299929	0.958599857853589
101	+	5380	21	227	0.955934612651031	0.959665955934613
102	+	5388	15	225	0.957356076759062	0.96002132196162
103	+	5391	14	223	0.957889125799574	0.960376687988628
104	+	5392	16	220	0.958066808813077	0.96090973702914
105	+	5395	12	221	0.958599857853589	0.960732054015636
106	+	5399	8	221	0.959310589907605	0.960732054015636
107	+	5398	15	215	0.959132906894101	0.96179815209666
108	+	5402	15	211	0.959843638948117	0.962508884150675
109	+	5408	11	209	0.96090973702914	0.962864250177683
110	+	5410	10	208	0.961265103056148	0.963041933191187
111	+	5416	5	207	0.962331201137171	0.963219616204691
112	+	5417	4	207	0.962508884150675	0.963219616204691
113	+	5416	8	204	0.962331201137171	0.963752665245203
114	+	5418	7	203	0.962686567164179	0.963930348258706
115	+	5420	4	204	0.963041933191187	0.963752665245203
116	+	5419	8	201	0.962864250177683	0.964285714285714
117	+	5419	8	201	0.962864250177683	0.964285714285714
118	+	5420	5	203	0.963041933191187	0.963930348258706
119	+	5421	5	202	0.963219616204691	0.96410803127221
120	+	5422	7	199	0.963397299218195	0.964641080312722
121	+	5424	6	198	0.963752665245203	0.964818763326226
122	+	5424	7	197	0.963752665245203	0.96499644633973
123	+	5425	6	197	0.963930348258706	0.96499644633973
124	+	5425	9	194	0.963930348258706	0.965529495380242
125	+	5429	6	193	0.964641080312722	0.965707178393746
126	+	5431	23	174	0.96499644633973	0.96908315565032
127	+	5449	5	174	0.9681947405828	0.96908315565032
128	+	5451	3	174	0.968550106609808	0.96908315565032
129	+	5452	3	173	0.968727789623312	0.969260838663824
130	+	5454	2	172	0.96908315565032	0.969438521677328
131	+	5453	3	172	0.968905472636816	0.969438521677328
132	+	5450	6	172	0.968372423596304	0.969438521677328
133	+	5450	6	172	0.968372423596304	0.969438521677328
134	+	5450	4	174	0.968372423596304	0.96908315565032
135	+	5450	4	174	0.968372423596304	0.96908315565032
136	+	5450	6	172	0.968372423596304	0.969438521677328
137	+	5452	5	171	0.968727789623312	0.969616204690832
138	+	5453	8	167	0.968905472636816	0.970326936744847
139	+	5457	10	161	0.969616204690832	0.971393034825871
140	+	5463	4	161	0.970682302771855	0.971393034825871
141	+	5464	3	161	0.970859985785359	0.971393034825871
142	+	5461	7	160	0.970326936744847	0.971570717839375
143	+	5462	7	159	0.970504619758351	0.971748400852879
144	+	5462	7	159	0.970504619758351	0.971748400852879
145	+	5462	7	159	0.970504619758351	0.971748400852879
146	+	5462	7	159	0.970504619758351	0.971748400852879
147	+	5462	7	159	0.970504619758351	0.971748400852879
148	+	5461	20	147	0.970326936744847	0.973880597014925
149	+	5473	10	145	0.972459132906894	0.974235963041933
150	+	5473	19	136	0.972459132906894	0.975835110163468
151	+	5483	14	131	0.974235963041933	0.976723525230988
152	+	5485	12	131	0.974591329068941	0.976723525230988
153	+	5485	11	132	0.974591329068941	0.976545842217484
154	+	5491	6	131	0.975657427149965	0.976723525230988
155	+	5489	8	131	0.975302061122957	0.976723525230988
156	+	5489	8	131	0.975302061122957	0.976723525230988
157	+	5489	8	131	0.975302061122957	0.976723525230988
158	+	5489	11	128	0.975302061122957	0.9772565742715
159	+	5491	9	128	0.975657427149965	0.9772565742715
160	+	5491	9	128	0.975657427149965	0.9772565742715
161	+	5491	9	128	0.975657427149965	0.9772565742715
162	+	5494	6	128	0.976190476190476	0.9772565742715
163	+	5494	7	127	0.976190476190476	0.977434257285004
164	+	5495	7	126	0.97636815920398	0.977611940298508
165	+	5496	6	126	0.976545842217484	0.977611940298508
166	+	5496	6	126	0.976545842217484	0.977611940298508
167	+	5492	11	125	0.975835110163468	0.977789623312011
168	+	5454	49	125	0.96908315565032	0.977789623312011
169	+	5454	51	123	0.96908315565032	0.978144989339019
170	+	5456	50	122	0.969438521677328	0.978322672352523
171	+	5457	49	122	0.969616204690832	0.978322672352523
172	+	5457	52	119	0.969616204690832	0.978855721393035
173	+	5460	50	118	0.970149253731343	0.979033404406539
174	+	5460	51	117	0.970149253731343	0.979211087420043
175	+	5463	48	117	0.970682302771855	0.979211087420043
176	+	5463	48	117	0.970682302771855	0.979211087420043
177	+	5463	48	117	0.970682302771855	0.979211087420043
178	+	5462	49	117	0.970504619758351	0.979211087420043
179	+	5462	49	117	0.970504619758351	0.979211087420043
180	+	5461	52	115	0.970326936744847	0.979566453447051
181	+	5463	51	114	0.970682302771855	0.979744136460554
182	+	5463	51	114	0.970682302771855	0.979744136460554
183	+	5459	54	115	0.969971570717839	0.979566453447051
184	+	5456	53	119	0.969438521677328	0.978855721393035
185	+	5455	53	120	0.969260838663824	0.978678038379531
186	+	5455	53	120	0.969260838663824	0.978678038379531
187	+	5459	49	120	0.969971570717839	0.978678038379531
188	+	5493	15	120	0.976012793176972	0.978678038379531
189	+	5493	15	120	0.976012793176972	0.978678038379531
190	+	5492	16	120	0.975835110163468	0.978678038379531
191	+	5487	22	119	0.974946695095949	0.978855721393035
192	+	5487	24	117	0.974946695095949	0.979211087420043
193	+	5489	20	119	0.975302061122957	0.978855721393035
194	+	5488	22	118	0.975124378109453	0.979033404406539
195	+	5487	23	118	0.974946695095949	0.979033404406539
196	+	5485	23	120	0.974591329068941	0.978678038379531
197	+	5485	21	122	0.974591329068941	0.978322672352523
198	+	5485	21	122	0.974591329068941	0.978322672352523
199	+	5485	21	122	0.974591329068941	0.978322672352523
200	+	5485	22	121	0.974591329068941	0.978500355366027
201	+	5486	21	121	0.974769012082445	0.978500355366027
202	+	5484	23	121	0.974413646055437	0.978500355366027
203	+	5483	23	122	0.974235963041933	0.978322672352523
204	+	5486	19	123	0.974769012082445	0.978144989339019
205	+	5485	20	123	0.974591329068941	0.978144989339019
206	+	5485	19	124	0.974591329068941	0.977967306325515
207	+	5486	18	124	0.974769012082445	0.977967306325515
208	+	5492	13	123	0.975835110163468	0.978144989339019
209	+	5483	24	121	0.974235963041933	0.978500355366027
210	+	5484	18	126	0.974413646055437	0.977611940298508
211	+	5490	12	126	0.975479744136461	0.977611940298508
212	+	5490	12	126	0.975479744136461	0.977611940298508
213	+	5490	12	126	0.975479744136461	0.977611940298508
214	+	5493	9	126	0.976012793176972	0.977611940298508
215	+	5493	11	124	0.976012793176972	0.977967306325515
216	+	5495	9	124	0.97636815920398	0.977967306325515
217	+	5494	11	123	0.976190476190476	0.978144989339019
218	+	5494	10	124	0.976190476190476	0.977967306325515
219	+	5495	9	124	0.97636815920398	0.977967306325515
220	+	5495	9	124	0.97636815920398	0.977967306325515
221	+	5493	10	125	0.976012793176972	0.977789623312011
222	+	2148	3353	127	0.381663113006397	0.977434257285004
223	+	2148	3352	128	0.381663113006397	0.9772565742715
224	+	2147	3354	127	0.381485429992893	0.977434257285004
225	+	2148	3353	127	0.381663113006397	0.977434257285004
226	+	2148	3353	127	0.381663113006397	0.977434257285004
227	+	2149	3351	128	0.381840796019901	0.9772565742715
228	+	2149	3351	128	0.381840796019901	0.9772565742715
229	+	2154	3345	129	0.38272921108742	0.977078891257996
230	+	2153	3348	127	0.382551528073916	0.977434257285004
231	+	2152	3348	128	0.382373845060412	0.9772565742715
232	+	2151	3349	128	0.382196162046908	0.9772565742715
233	+	2152	3348	128	0.382373845060412	0.9772565742715
234	+	2152	3350	126	0.382373845060412	0.977611940298508
235	+	2148	3352	128	0.381663113006397	0.9772565742715
236	+	2148	3350	130	0.381663113006397	0.976901208244492
237	+	2149	3348	131	0.381840796019901	0.976723525230988
238	+	2149	3349	130	0.381840796019901	0.976901208244492
239	+	2149	3350	129	0.381840796019901	0.977078891257996
240	+	2149	3350	129	0.381840796019901	0.977078891257996
241	+	2148	3351	129	0.381663113006397	0.977078891257996
242	+	5494	6	128	0.976190476190476	0.9772565742715
243	+	5493	7	128	0.976012793176972	0.9772565742715
244	+	5490	9	129	0.975479744136461	0.977078891257996
245	+	5490	8	130	0.975479744136461	0.976901208244492
246	+	5490	10	128	0.975479744136461	0.9772565742715
247	+	5491	9	128	0.975657427149965	0.9772565742715
248	+	5491	9	128	0.975657427149965	0.9772565742715
249	+	5493	8	127	0.976012793176972	0.977434257285004
250	+	5494	7	127	0.976190476190476	0.977434257285004
251	+	5495	7	126	0.97636815920398	0.977611940298508
252	+	5496	9	123	0.976545842217484	0.978144989339019
253	+	5498	10	120	0.976901208244492	0.978678038379531
254	+	5501	7	120	0.977434257285004	0.978678038379531
255	+	5503	7	118	0.977789623312011	0.979033404406539
